run_id,start_time,average_cpu,estimated_completion_duration
80,2022-10-10 05:30:52.994011933,0.19088006,6 days 23:57:03
81,2022-10-10 06:31:14.550898160,0.19091167,6 days 23:57:03
82,2022-10-10 07:31:36.107784387,0.19214565,6 days 23:57:03
83,2022-10-10 08:31:57.664670614,0.1922914,6 days 23:57:03
84,2022-10-10 09:32:19.221556841,0.19244602,6 days 23:57:03
85,2022-10-10 10:32:40.778443068,0.1933907,6 days 23:57:03
86,2022-10-10 11:33:02.335329295,0.19430448,6 days 23:57:03
87,2022-10-10 12:33:23.892215522,0.19471158,6 days 23:57:03
88,2022-10-10 13:33:45.449101749,0.19655824,6 days 23:57:03
89,2022-10-10 14:34:07.005987976,0.1977344,6 days 23:57:03
90,2022-10-10 15:34:28.562874203,0.19909886,6 days 23:57:03
91,2022-10-10 16:34:50.119760430,0.20374924,6 days 23:57:03
92,2022-10-10 17:35:11.676646657,0.2039129,6 days 23:57:03
93,2022-10-10 18:35:33.233532884,0.20433192,6 days 23:57:03
94,2022-10-10 19:35:54.790419111,0.20469199,6 days 23:57:03
95,2022-10-10 20:36:16.347305338,0.20474209,6 days 23:57:03
96,2022-10-10 21:36:37.904191565,0.20545878,6 days 23:57:03
97,2022-10-10 22:36:59.461077792,0.20604278,6 days 23:57:03
98,2022-10-10 23:37:21.017964019,0.20644367,6 days 23:57:03
99,2022-10-11 00:37:42.574850246,0.20660242,6 days 23:57:03
100,2022-10-11 01:38:04.131736473,0.20710996,6 days 23:57:03
101,2022-10-11 02:38:25.688622700,0.20713128,6 days 23:57:03
102,2022-10-11 03:38:47.245508927,0.20715742,6 days 23:57:03
103,2022-10-11 04:39:08.802395154,0.20776722,6 days 23:57:03
104,2022-10-11 05:39:30.359281381,0.20791139,6 days 23:57:03
105,2022-10-11 06:39:51.916167608,0.20805821,6 days 23:57:03
106,2022-10-11 07:40:13.473053835,0.20822997,6 days 23:57:03
107,2022-10-11 08:40:35.029940062,0.2083468,6 days 23:57:03
108,2022-10-11 09:40:56.586826289,0.2096242,6 days 23:57:03
109,2022-10-11 10:41:18.143712516,0.21193518,6 days 23:57:03
110,2022-10-11 11:41:39.700598743,0.21201313,6 days 23:57:03
111,2022-10-11 12:42:01.257484970,0.21213268,6 days 23:57:03
112,2022-10-11 13:42:22.814371197,0.21308245,6 days 23:57:03
113,2022-10-11 14:42:44.371257424,0.21733665,6 days 23:57:26
114,2022-10-11 15:43:05.928143651,0.21762286,6 days 23:57:30
115,2022-10-11 16:43:27.485029878,0.21798095,6 days 23:57:30
116,2022-10-11 17:43:49.041916105,0.21835056,6 days 23:57:30
117,2022-10-11 18:44:10.598802332,0.21925502,6 days 23:57:30
118,2022-10-11 19:44:32.155688559,0.22008048,6 days 23:57:30
119,2022-10-11 20:44:53.712574786,0.22111152,6 days 23:57:30
120,2022-10-11 21:45:15.269461013,0.22800438,6 days 23:57:30
121,2022-10-11 22:45:36.826347240,0.22800438,6 days 23:57:30
122,2022-10-11 23:45:58.383233467,0.22872116,6 days 23:57:30
123,2022-10-12 00:46:19.940119694,0.22872116,6 days 23:57:30
124,2022-10-12 01:46:41.497005921,0.22932777,6 days 23:57:30
125,2022-10-12 02:47:03.053892148,0.22932777,6 days 23:57:30
126,2022-10-12 03:47:24.610778375,0.22932777,6 days 23:57:30
127,2022-10-12 04:47:46.167664602,0.25092748,6 days 23:57:30
128,2022-10-12 05:48:07.724550829,0.25280604,6 days 23:57:30
129,2022-10-12 06:48:29.281437056,0.25288555,6 days 23:57:30
130,2022-10-12 07:48:50.838323283,0.2530966,6 days 23:57:30
131,2022-10-12 08:49:12.395209510,0.25361818,6 days 23:57:30
132,2022-10-12 09:49:33.952095737,0.25367868,6 days 23:57:30
133,2022-10-12 10:49:55.508981964,0.25372288,6 days 23:57:30
134,2022-10-12 11:50:17.065868191,0.25468495,6 days 23:57:30
135,2022-10-12 12:50:38.622754418,0.25501528,6 days 23:57:30
136,2022-10-12 13:51:00.179640645,0.25637296,6 days 23:57:30
137,2022-10-12 14:51:21.736526872,0.2571224,6 days 23:57:30
138,2022-10-12 15:51:43.293413099,0.2571901,6 days 23:57:30
139,2022-10-12 16:52:04.850299326,0.257589,6 days 23:57:30
140,2022-10-12 17:52:26.407185553,0.25859523,6 days 23:57:30
141,2022-10-12 18:52:47.964071780,0.2586342,6 days 23:57:30
142,2022-10-12 19:53:09.520958007,0.25864363,6 days 23:57:30
143,2022-10-12 20:53:31.077844234,0.2586574,6 days 23:57:30
144,2022-10-12 21:53:52.634730461,0.2587301,6 days 23:57:30
145,2022-10-12 22:54:14.191616688,0.2588313,6 days 23:57:30
146,2022-10-12 23:54:35.748502915,0.25885913,6 days 23:57:30
147,2022-10-13 00:54:57.305389142,0.2593439,6 days 23:57:30
148,2022-10-13 01:55:18.862275369,0.26027367,6 days 23:57:30
149,2022-10-13 02:55:40.419161596,0.26040503,6 days 23:57:30
150,2022-10-13 03:56:01.976047823,0.26109245,6 days 23:57:30
151,2022-10-13 04:56:23.532934050,0.26109707,6 days 23:57:30
152,2022-10-13 05:56:45.089820277,0.26110202,6 days 23:57:30
153,2022-10-13 06:57:06.646706504,0.26111653,6 days 23:57:30
154,2022-10-13 07:57:28.203592731,0.26117754,6 days 23:57:30
155,2022-10-13 08:57:49.760478958,0.26221555,6 days 23:57:30
156,2022-10-13 09:58:11.317365185,0.26283,6 days 23:57:30
157,2022-10-13 10:58:32.874251412,0.2637658,6 days 23:57:30
158,2022-10-13 11:58:54.431137639,0.2644789,6 days 23:57:30
159,2022-10-13 12:59:15.988023866,0.264561,6 days 23:57:30
160,2022-10-13 13:59:37.544910093,0.26461872,6 days 23:57:30
161,2022-10-13 14:59:59.101796320,0.2646875,6 days 23:57:30
162,2022-10-13 16:00:20.658682547,0.2649887,6 days 23:57:30
163,2022-10-13 17:00:42.215568774,0.2676399,6 days 23:57:30
164,2022-10-13 18:01:03.772455001,0.2677787,6 days 23:57:30
165,2022-10-13 19:01:25.329341228,0.26783192,6 days 23:57:30
166,2022-10-13 20:01:46.886227455,0.2679438,6 days 23:57:30
167,2022-10-13 21:02:08.443113682,0.2679788,6 days 23:57:30
